acceleration, steering_angle
0.787451,-1.500000
1.327999,-1.500000
1.936893,-0.361851
1.314728,1.500000
-0.481310,1.500000
-0.697520,1.500000
-0.778523,1.500000
-0.726850,0.766600
-0.691006,-0.220988
-0.605681,0.607295
-0.647856,-0.305071
-0.575599,0.544739
-0.560034,-0.474192
-0.578005,0.535457
-0.666428,-0.549112
-0.632878,0.483789
-0.767182,-0.585105
-0.698000,0.424150
-0.884126,-0.593187
-0.760084,0.348058
-1.001133,-0.576229
-0.764985,0.195776
-1.051392,-0.552034
-0.731592,-0.047039
-0.997345,-0.489224
-0.970595,1.142860
-1.096035,1.296823
-1.105424,1.398206
-6.990224,1.500000
-4.978472,-1.500000
-10.000000,1.500000
8.260015,1.500000
4.070867,1.500000
4.967004,1.500000
5.736719,1.500000
6.689072,1.500000
7.938144,1.500000
8.120956,1.500000
-2.536830,1.500000
-4.296159,-0.033916
-7.884313,-1.252232
